"臓器","分類","項目名","UID","H28対応項目","H28表記","修正提案(20220302)","査読コメント(20220302)","削除項目","追加項目","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"妊娠と分娩","構造と機能","妊娠・分娩・産褥での母体の解剖学的と生理学的変化","JlAKpp4","D-10-03-na-01","妊娠・分娩・産褥での母体の解剖学的と生理学的変化を説明できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","構造と機能","胎児・胎盤系の発達過程での機能・形態的変化","JlAKpp8","D-10-03-na-02","胎児・胎盤系の発達過程での機能・形態的変化を説明できる。","","","","","D-05-01-na-05との重複検討","","","","","","","","","",""
"妊娠と分娩","構造と機能","正常妊娠の経過（妊娠に伴う身体的変化を含む）","JlAKpqA","D-10-03-na-03,D-10-01-na-02","正常妊娠の経過を説明できる。,妊娠に伴う身体的変化を概説できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","構造と機能","正常分娩の経過","JlAKpqE","D-10-03-na-04","正常分娩の経過を説明できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","構造と機能","産褥の過程","JlAKpqI","D-10-03-na-05","産褥の過程を説明できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","構造と機能","育児に伴う母体の変化、精神問題および母子保健","JlAKpqM","D-10-03-na-06, D-10-03-na-07","育児に伴う母体の構造的・生理的な変化、精神問題を説明できる。,母子保健の意義を医学的に説明できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","症候","腹痛","JlAKpqQ","D-10-02-na-01,D-10-02-na-02,D-10-02-na-03","腹痛,悪心・嘔吐,腹部膨隆（腹水を含む）・膨満・腫瘤","","","","","","","","","","","","","","",""
"妊娠と分娩","症候","悪心・嘔吐","JlAKpqU","D-10-02-na-01,D-10-02-na-02,D-10-02-na-03","腹痛,悪心・嘔吐,腹部膨隆（腹水を含む）・膨満・腫瘤","","","","","","","","","","","","","","",""
"妊娠と分娩","症候","腹部膨隆・腫瘤","JlAKpqY","D-10-02-na-01,D-10-02-na-02,D-10-02-na-03","腹痛,悪心・嘔吐,腹部膨隆（腹水を含む）・膨満・腫瘤","","","","","","","","","","","","","","",""
"妊娠と分娩","症候","性器出血","JlAKpqc","F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05","月経異常の原因と病態生理を説明できる。,月経異常をきたす疾患(群)を列挙し、診断の要点を説明できる。,月経異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,無月経：妊娠,月経困難：月経困難症,月経困難：子宮内膜症,不正性器出血：子宮頸癌,不正性器出血：子宮体癌","","","","①性器出血、②月経異常",",G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05","","","","","","","","","",""
"妊娠と分娩","症候","月経異常","JlAKpqg","F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05","月経異常の原因と病態生理を説明できる。,月経異常をきたす疾患(群)を列挙し、診断の要点を説明できる。,月経異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,無月経：妊娠,月経困難：月経困難症,月経困難：子宮内膜症,不正性器出血：子宮頸癌,不正性器出血：子宮体癌","","","","①性器出血、②月経異常",",G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05","","","","","","","","","",""
"妊娠と分娩","検査方法","妊娠の検査（妊娠反応、超音波検査）","JlAKpqk","D-10-01-na-01","妊娠の診断法を説明できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","検査方法","妊娠中の検査（血液検査・出生前遺伝学的検査・羊水検査・分泌物検査・ノンストレステスト・超音波検査・超音波ドプラ法・羊水量）","JlAKpqo","D-10-01-na-04","羊水検査法の意義と異常所見を説明できる。","","","","②妊娠中の検査（血液検査、出生前遺伝学的検査（NIPT）、羊水検査、分泌物検査、ノンストレステスト、超音波検査、超音波ドプラ法、羊水量）","","","","","","","","","","",""
"妊娠と分娩","検査方法","分娩の検査（超音波検査・胎児心拍数陣痛図）","JlAKpqs","D-10-01-na-03","胎児・胎盤検査法（超音波検査、分娩監視装置による）の意義を説明できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","特異的治療法","妊娠時の薬物療法の注意点","JlAKpqw","","","","","","","","","","","","","","","","",""
"妊娠と分娩","特異的治療法","人工妊娠中絶、鉗子・吸引分娩、帝王切開術の適応","JlAKpq0","D-10-03-na-08","妊娠時の薬物療法の注意点を説明できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","疾患・病態","異常妊娠：妊娠悪阻、異所性妊娠、流産・切迫流産、ハイリスク妊娠、妊娠高血圧症候群、多胎妊娠、前期破水、切迫早産、胎児機能不全","JlAKpq4","D-10-04-na-01","主な異常妊娠（流産、切迫流産、子宮外妊娠（異所性妊娠）、妊娠高血圧症候群、多胎妊娠、胎児発育不全）の病態を説明できる。","","主な異常妊娠（流産、切迫流産、子宮外妊娠（異所性妊娠）、妊娠高血圧症候群、多胎妊娠、胎児機能不全）の病態を説明できる。","","妊娠悪阻、切迫早産、羊水過多・過少、胎児機能不全","","","","","","","","","","",""
"妊娠と分娩","疾患・病態","異常分娩：早産、微弱陣痛、遷延分娩、回旋異常、前置胎盤、癒着胎盤、常位胎盤早期剥離、分娩外傷","JlAKpq8","D-10-04-na-02","主な異常分娩（早産、微弱陣痛、遷延分娩、回旋異常、前置胎盤、癒着胎盤、常位胎盤早期剥離、弛緩出血、分娩外傷）の病態を説明できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","疾患・病態","異常産褥：子宮復古不全、産褥熱、乳腺炎","JlAKprA","D-10-04-na-03","主な異常産褥（子宮復古不全、産褥熱、乳腺炎）の病態を説明できる。","","","","","","","","","","","","","","",""
"妊娠と分娩","疾患・病態","産科出血：弛緩出血、羊水塞栓症、播種性血管内凝固<DIC>","JlAKprE","D-10-04-na-04","産科救急（産科出血、播種性血管内凝固<DIC>）の病態と治療を説明できる。","< >の修正","2.0","","羊水塞栓","","","","","","","","","","",""
"妊娠と分娩","疾患・病態","合併症妊娠：貧血、耐糖能異常、甲状腺疾患、免疫性血小板減少性紫斑病<ITP>、感染症（HBV・HCV・HIV・HTLV-Ⅰ・パルボウイルスB19・B群連鎖球菌、TORCH症候群）","JlAKprI","D-10-04-na-05","主な合併症妊娠（耐糖能異常、甲状腺疾患、血液型不適合妊娠、toxoplasmosis, other agents, rubella, cytomegalovirus, herpes simplex <TORCH>症候群）の病態を説明できる。","","","血液型不適合妊娠","貧血、免疫性血小板減少性紫斑病<ITP>、感染症（HBV・HCV・HIV・HTLV-Ⅰ・パルボウイルスB19・B群連鎖球菌）","","","","","","","","","","",""
"小児","症候","発熱","Jli6Jl0","F-01-01-na-01,F-01-01-na-02,F-01-01-na-03,G-02-01-na-01,G-02-01-na-02,G-02-01-na-03,G-02-01-na-04,G-02-01-na-05,G-02-01-na-06,G-02-01-na-07,G-02-01-na-08","発熱の原因と病態生理を説明できる。,発熱をきたす疾患(群)を列挙し、診断の要点を説明できる。,発熱がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：肺炎,感染症：結核,感染症：尿路感染症,腫瘍：悪性リンパ腫,腫瘍：腎細胞癌,自己免疫：全身性エリテマトーデス<SLE>,自己免疫：炎症性腸疾患,環境：熱中症","","","E-07-01-na-02","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","意識障害","Jli6Jl4","F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09","意識障害・失神の原因と病態生理を説明できる。,意識障害・失神をきたす疾患(群)を列挙し、診断の要点を説明できる。,意識障害・失神がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳原発性：くも膜下出血,脳原発性：頭蓋内血腫,脳原発性：脳炎,全身性：心筋梗塞,全身性：不整脈,全身性：肺塞栓症,全身性：てんかん,全身性：急性消化管出血,全身性：肝不全","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","けいれん","Jli6Jl8","F-01-08-na-01,F-01-08-na-02,F-01-08-na-03,G-02-08-na-01,G-02-08-na-02,G-02-08-na-03,G-02-08-na-04,G-02-08-na-05,G-02-08-na-06","けいれんの原因と病態生理を説明できる。,けいれんをきたす疾患(群)を列挙し、診断の要点を説明できる。,けいれんがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳血管障害：脳梗塞,中毒：薬物依存症,中毒：アルコール依存症,感染症：脳炎,感染症：脳症,感染症：熱性けいれん","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","浮腫","Jli6JmE","F-01-11-na-01,F-01-11-na-02,F-01-11-na-03,G-02-11-na-01,G-02-11-na-02,G-02-11-na-03,G-02-11-na-04,G-02-11-na-05,G-02-11-na-06","浮腫の原因と病態生理を説明できる。,浮腫をきたす疾患(群)を列挙し、診断の要点を説明できる。,浮腫がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,局所性：深部静脈血栓症,全身性：心不全,全身性：ネフローゼ症候群,全身性：慢性腎臓病,全身性：肝硬変,全身性：甲状腺機能低下症","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","発疹","Jli6JmI","F-01-12-na-01,F-01-12-na-02,F-01-12-na-03,G-02-12-na-01,G-02-12-na-02,G-02-12-na-03,G-02-12-na-04,G-02-12-na-05,G-02-12-na-06,G-02-12-na-07","発疹の原因と病態生理を説明できる。,発疹をきたす疾患(群)を列挙し、診断の要点を説明できる。,発疹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：ウイルス性発疹症（麻疹）,感染症：ウイルス性発疹症（風疹）,感染症：ウイルス性発疹症（水痘）,感染症：ウイルス性発疹症（ヘルペス）,アレルギー、自己免疫：蕁麻疹,アレルギー、自己免疫：薬疹,アレルギー、自己免疫：全身性エリテマトーデス<SLE>","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","咳・痰","Jli6JmQ","F-01-13-na-01,F-01-13-na-02,F-01-13-na-03,G-02-13-na-01,G-02-13-na-02,G-02-13-na-03,G-02-13-na-04,G-02-13-na-05,G-02-13-na-06,G-02-13-na-07","咳・痰の原因と病態生理を説明できる。,咳・痰をきたす疾患(群)を列挙し、診断の要点を説明できる。,咳・痰がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：気管支炎,感染症：肺炎,感染症：副鼻腔炎,腫瘍：肺癌,特発性：間質性肺疾患,自己免疫：気管支喘息,消化器：胃食道逆流症<GERD>","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","呼吸困難","Jli6JmY","F-01-15-na-01,F-01-15-na-02,F-01-15-na-03,G-02-15-na-01,G-02-15-na-02,G-02-15-na-03,G-02-15-na-04,G-02-15-na-05,G-02-15-na-06,G-02-15-na-07,G-02-15-na-08","呼吸困難の原因と病態生理を説明できる。,呼吸困難をきたす疾患(群)を列挙し、診断の要点を説明できる。,呼吸困難がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,呼吸器：肺塞栓症,呼吸器：急性呼吸促(窮)迫症候群<ARDS>,呼吸器：気管支喘息,呼吸器：慢性閉塞性肺疾患<COPD>,呼吸器：緊張性気胸,循環器：心不全,心因性：パニック障害,心因性：過換気症候群","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","嚥下困難","Jli6Jmc","F-01-19-na-01,F-01-19-na-02,F-01-19-na-03,G-02-19-na-01,G-02-19-na-02,G-02-19-na-03,G-02-19-na-04,G-02-19-na-05,G-02-19-na-06,G-02-19-na-07","嚥下困難・障害の原因と病態生理を説明できる。,嚥下困難・障害をきたす疾患(群)を列挙し、診断の要点を説明できる。,嚥下困難・障害がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,神経：脳出血,神経：脳梗塞,呼吸器：扁桃炎,呼吸器：肺癌,消化器：胃食道逆流症<GERD>,消化器：食道癌,心因性：身体症状症","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","腹痛","Jli6Jmk","F-01-20-na-01,F-01-20-na-02,F-01-20-na-03,G-02-20-na-01,G-02-20-na-02,G-02-20-na-03,G-02-20-na-04,G-02-20-na-05,G-02-20-na-06,G-02-20-na-07,G-02-20-na-08,G-02-20-na-09,G-02-20-na-10,G-02-20-na-11,G-02-20-na-12,G-02-20-na-13","腹痛の原因と病態生理を説明できる。,腹痛をきたす疾患(群)を列挙し、診断の要点を説明できる。,腹痛がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,消化器：機能性ディスペプシア<FD>,消化器：過敏性腸症候群,消化器：炎症性腸疾患,消化器：消化性潰瘍,消化器：急性虫垂炎,消化器：胆石症,消化器：急性膵炎,消化器：腸閉塞,消化器：鼠径ヘルニア,泌尿・生殖器：尿路結石,泌尿・生殖器：流・早産,循環器：急性冠症候群,心因性：身体症状症","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","悪心・嘔吐","Jli6Jmo","F-01-21-na-01,F-01-21-na-02,F-01-21-na-03,G-02-21-na-01,G-02-21-na-02,G-02-21-na-03,G-02-21-na-04,G-02-21-na-05,G-02-21-na-06,G-02-21-na-07,G-02-21-na-08,G-02-21-na-09","悪心・嘔吐の原因と病態生理を説明できる。,悪心・嘔吐をきたす疾患(群)を列挙し、診断の要点を説明できる。,悪心・嘔吐がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,消化管：機能性ディスペプシア<FD>,消化管：腸閉塞,消化管：食中毒,循環器：急性心筋梗塞,神経：片頭痛,神経：脳出血,神経：くも膜下出血,神経：頭蓋内血腫,精神：うつ病","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","下血","Jli6Jmw","F-01-22-na-01,F-01-22-na-02,F-01-22-na-03,G-02-22-na-01,G-02-22-na-02,G-02-22-na-03,G-02-22-na-04,G-02-22-na-05,G-02-22-na-06,G-02-22-na-07,G-02-22-na-08","吐血・下血の原因と病態生理を説明できる。,吐血・下血をきたす疾患(群)を列挙し、診断の要点を説明できる。,吐血・下血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（吐血）食道：食道静脈瘤,（吐血）食道：食道癌,（吐血）胃：消化性潰瘍,（吐血）胃：胃癌,（下血）上部消化管：食道静脈瘤,（下血）上部消化管：消化性潰瘍,（下血）下部消化管：炎症性腸疾患,（下血）下部消化管：大腸癌","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","便秘","Jli6Jm0","F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09","便秘・下痢の原因と病態生理を説明できる。,便秘・下痢をきたす疾患(群)を列挙し、診断の要点を説明できる。,便秘・下痢がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（便秘）機能性：過敏性腸症候群,（便秘）機能性：甲状腺機能低下症,（便秘）器質性：腸閉塞,（便秘）器質性：大腸癌,（下痢）炎症性：急性胃腸炎,（下痢）炎症性：炎症性腸疾患,（下痢）腸管運動異常：過敏性腸症候群,（下痢）腸管運動異常：甲状腺機能亢進症,（下痢）浸透圧性：慢性膵炎","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","下痢","Jli6Jm8","F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09","便秘・下痢の原因と病態生理を説明できる。,便秘・下痢をきたす疾患(群)を列挙し、診断の要点を説明できる。,便秘・下痢がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（便秘）機能性：過敏性腸症候群,（便秘）機能性：甲状腺機能低下症,（便秘）器質性：腸閉塞,（便秘）器質性：大腸癌,（下痢）炎症性：急性胃腸炎,（下痢）炎症性：炎症性腸疾患,（下痢）腸管運動異常：過敏性腸症候群,（下痢）腸管運動異常：甲状腺機能亢進症,（下痢）浸透圧性：慢性膵炎","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","黄疸","Jli6JnA","F-01-24-na-01,F-01-24-na-02,F-01-24-na-03,G-02-24-na-01,G-02-24-na-02,G-02-24-na-03,G-02-24-na-04,G-02-24-na-05,G-02-24-na-06","黄疸の原因と病態生理を説明できる。,黄疸をきたす疾患(群)を列挙し、診断の要点を説明できる。,黄疸がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,抱合型：急性肝炎,抱合型：慢性肝炎,抱合型：肝硬変,抱合型：胆管炎,抱合型：膵癌,非抱合型：溶血性貧血","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","腹部膨隆・腫瘤","Jli6JnI","F-01-25-na-01,F-01-25-na-02,F-01-25-na-03,G-02-25-na-01,G-02-25-na-02,G-02-25-na-03,G-02-25-na-04,G-02-25-na-05,G-02-25-na-06,G-02-25-na-07","腹部膨隆（腹水を含む）・腫瘤の原因と病態生理を説明できる。,腹部膨隆（腹水を含む）・腫瘤をきたす疾患(群)を列挙し、診断の要点を説明できる。,腹部膨隆（腹水を含む）・腫瘤がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,消化管：腸閉塞,消化管：大腸癌,腹水：肝硬変,腹水：ネフローゼ症候群,腹水：心不全,腫瘤：肝癌,腫瘤：卵巣嚢腫","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","リンパ節腫脹","Jli6JnQ","F-01-27-na-01,F-01-27-na-02,F-01-27-na-03,G-02-27-na-01,G-02-27-na-02,G-02-27-na-03,G-02-27-na-04,G-02-27-na-05,G-02-27-na-06","リンパ節腫脹の原因と病態生理を説明できる。,リンパ節腫脹をきたす疾患(群)を列挙し、診断の要点を説明できる。,リンパ節腫脹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：ウイルス性発疹症（風疹）,感染症：ウイルス性発疹症（麻疹）,感染症：結核,自己免疫：全身性エリテマトーデス<SLE>,腫瘍：悪性リンパ腫,腫瘍：その他の悪性腫瘍全般","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","尿量・排尿の異常","Jli6JnU","F-01-28-na-01,F-01-28-na-02,F-01-28-na-03,G-02-28-na-01,G-02-28-na-02,G-02-28-na-03,G-02-28-na-04,G-02-28-na-05,G-02-28-na-06,G-02-28-na-07","尿量・排尿の異常の原因と病態生理を説明できる。,尿量・排尿の異常をきたす疾患(群)を列挙し、診断の要点を説明できる。,尿量・排尿の異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（多尿）：浸透圧利尿：糖尿病,（多尿）：中毒：薬剤性,（頻尿）畜尿障害：尿路感染症,（頻尿）畜尿障害：脊髄損傷,（頻尿）排出困難（排出障害）：前立腺肥大症,（頻尿）排出困難（排出障害）：尿路感染症,（頻尿）排出困難（排出障害）：前立腺癌","","","","","小児に頻度の多い症候","","","","","","","","","",""
"小児","症候","哺乳力低下","Jli6Jnc","新設","{not found: 新設}","","","","","医師国家試験出題基準（平成30年版）のp18の必修部分に記載, 成人症候の食思(欲)不振に該当","","","","","","","","","",""
"小児","症候","体重増加不良","Jli6Jng","新設","{not found: 新設}","","","","","医師国家試験出題基準（平成30年版）のp18の必修部分の徴候, 成人症候の体重減少に該当","","","","","","","","","",""
"小児","症候","活動性低下","Jli6Jno","新設","{not found: 新設}","","","","","医師国家試験出題基準（平成30年版）のp18の必修部分の徴候, 成人症候の全身倦怠感に該当","","","","","","","","","",""
"小児","検査方法","新生児マススクリーニング","Jli6Jns","E-07-01-na-06","新生児マススクリーニングを説明できる。","","","","","","","","","","","","","","",""
"小児","検査方法","新生児聴覚スクリーニング","Jli6Jn0","新設","{not found: 新設}","","","","","","","","","","","","","","",""
"小児","検査方法","乳幼児健康診査","Jli6Jn8","新設","{not found: 新設}","","","","","","","","","","","","","","",""
"小児","特異的治療法","小児輸液療法","Jli6JoA","F-02-11-na-05, D-08-01-na-01","乳幼児と小児の輸液療法を説明できる。,体液の量と組成・浸透圧を小児と成人を区別して説明できる。","","","","","","","","","","","","","","",""
"小児","特異的治療法","予防接種","Jli6JoI","E-07-03-na-04","小児保健における予防接種の意義と内容を説明できる。","","","","","","","","","","","","","","",""
"小児","疾患・病態","血液系：小児白血病・悪性リンパ腫、ビタミンK欠乏症","Jli6JoM","D-01-04-04-06","小児白血病と成人白血病の違いを説明できる。","","","","","ビタミンK欠乏は新別表で新設されたもの（血液26）から引き抜き提案","","","","","","","","","",""
"小児","疾患・病態","神経系：熱性けいれん、脳性麻痺、水頭症","Jli6JoU","D-02-04-09-01,D-02-04-09-02","脳性麻痺の病因、病型、症候とリハビリテーションを説明できる。,水頭症の症候と治療を説明できる。","","","","","熱性けいれんは新別表で新設されたもの（神経73）から引き抜き提案","","","","","","","","","",""
"小児","疾患・病態","皮膚系：伝染性膿痂疹ブドウ球菌性熱傷様皮膚症候群、伝染性軟属腫、麻疹、風疹、水痘、伝染性紅斑、手足口病","Jli6JoY","D-03-04-07-01, D-03-04-07-05","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。","","","","","伝染性紅斑・手足口病は新別表で新設されたもの（皮膚95）から引き抜き提案","","","","","","","","","",""
"小児","疾患・病態","循環器系：心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot 四徴症","Jli6Jog","D-05-04-06-01","主な先天性心疾患（心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot四徴症）の病態生理、症候と診断を説明し、治療を概説できる。","","","","","新別表（循環器177）から引き抜き","","","","","","","","","",""
"小児","疾患・病態","呼吸器系：クループ症候群、細気管支炎、小児気管支喘息","Jli6Joo","D-06-04-02-02, D-06-04-02-06、D-06-04-03-03","気管支炎・細気管支炎・肺炎（定型肺炎、非定型肺炎）の主な病原体を列挙し、症候、診断と治療を説明できる。,{not found:  D-06-04-02-06、D-06-04-03-03}","","","","","新別表（呼吸器211, 215）から引き抜き提案","","","","","","","","","",""
"小児","疾患・病態","消化器系：肥厚性幽門狭窄症、鎖肛、Hirschsprung病、腸重積症、便秘症、乳児下痢症、胆道閉鎖症、鼠径ヘルニア","Jli6Jos","D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03","肥厚性幽門狭窄症を概説できる。,大腸の主な先天性疾患（鎖肛、Hirschsprung病）を概説できる。,腸重積症を概説できる。,便秘症、乳児下痢症を説明できる。,鼠径部ヘルニアの病因、病態、診断と治療を説明できる。","","","","","新別表（消化器253, 254, 255）から引抜提案、これに伴研究より鼠径ヘルニア（15点）、先天性胆道拡張症/膵胆管合流異常の（7点）の代わりに胆道閉鎖症（11点）","","","","","","","","","",""
"小児","疾患・病態","腎臓：溶血性尿毒症症候群（HUS）、小児ネフローゼ症候群、紫斑病性腎炎、先天性腎尿路奇形、膀胱尿管逆流","Jli6Jo0","D-01-04-02-05, D-08-04-06-05 , D-08-04-07-01 ","溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎（紫斑病性腎炎）を概説できる。,腎尿路の主な先天異常（多発性嚢胞腎、膀胱尿管逆流）を概説できる。","","","","","新別表（腎臓286）と同様、D-08-04-07-01（腎尿路の主な先天異常（多発性嚢胞腎、膀胱尿管逆流）を概説できる）は表記を専門家と協議し微修正、原発性ネフローゼ症候群は伴研究より追加（17点）","","","","","","","","","",""
"小児","疾患・病態","内分泌系・代謝：成長ホルモン分泌不全型低身長、先天性副腎皮質過形成、アセトン血性嘔吐症","Jli6Jo4","D-12-04-01-05, D-12-04-04-04","成長ホルモン分泌不全性低身長症を概説できる。,先天性副腎（皮質）過形成を概説できる。","","","","","新別表（内分泌382）に伴研究からアセトン血性嘔吐症（14点）を追加","","","","","","","","","",""
"小児","疾患・病態","精神系：神経発達症群（自閉スペクトラム症（ASD）、注意・欠如多動症（ADHD）、限局性学習症、チック症）、小児心身症","Jli6JpA","E-07-03-na-08, E-07-03-na-05","神経発達障害群（自閉症スペクトラム障害<ASD>、注意欠如・多動障害<ADHD>、限局性学習障害、チック障害群）を列挙できる。,成長に関わる主な異常（小児心身症を含む）を列挙できる。","","","","","E7にあったもの","","","","","","","","","",""
"小児","疾患・病態","腫瘍：網膜芽細胞腫、神経芽腫、腎芽腫、胚芽腫、奇形腫","Jli6JpE","D-13-04-02-01, D-12-04-10-03, E-03-05-na-14","網膜芽細胞腫の症候、診断と治療を説明できる。,神経芽腫を概説し、小児腹部固形腫瘍（腎芽腫、胚芽腫、奇形腫）との鑑別点を説明できる。,小児腫瘍：神経芽腫","","","","","腫瘍から引き抜き提案","","","","","","","","","",""
"小児","疾患・病態","免疫・アレルギー：IgA血管炎、川崎病","Jli6JpM","D-01-04-02-06, E-04-03-05-03","IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,Kawasaki病（急性熱性皮膚粘膜リンパ節症候群）の病態生理、症候、診断と治療を説明できる。","","","","","新別表(免疫・アレルギー)から引き抜き提案","","","","","","","","","",""
"小児","疾患・病態","染色体異常：Down症","Jli6JpU","新設","{not found: 新設}","","","","","伴研究より（14点）","","","","","","","","","",""
"小児","疾患・病態","新生児：新生児仮死、新生児呼吸促迫症候群、新生児黄疸（高ビリルビン血症）、早産低出生体重児、胎便吸引症候群、新生児一過性多呼吸","Jli6JpY","E-07-01-na-05, D-06-04-07-03, E-07-01-na-07, E-07-01-na-09, E-07-01-na-10, E-07-01-na-08","新生児仮死の病態を説明できる。,新生児呼吸促迫症候群の症候、病態、診断と治療を説明できる。,新生児黄疸の鑑別と治療を説明できる。,正常児・低出生体重児・病児の管理の基本を説明できる。,低出生体重児固有の疾患を概説できる。,新生児期の呼吸障害の病因を列挙できる。","","","E-07-01-na-04","","E-07-01-na-08（新生児期の呼吸障害の病因を列挙できる）の具体例として胎便吸引症候群、新生児一過性多呼吸追加","","","","","","","","","",""
"小児","疾患・病態","救急：乳幼児突然死症候群（SIDS）、被虐待児症候群","Jli6Jpg","E-07-02-na-04, E-07-03-na-06","乳幼児突然死症候群(sudden infant death syndrome <SIDS>)を説明できる。,児童虐待を概説できる。","","","","","E7にあったもの","","","","","","","","","",""
"乳房","構造と機能","乳房の構造と機能","JlAKprM","D-11-01-na-01","乳房の構造と機能を説明できる。","","","","","","","","","","","","","","",""
"乳房","構造と機能","成長発達に伴う乳房の変化","JlAKprQ","D-11-01-na-02","成長発達に伴う乳房の変化を説明できる。","","","","","","","","","","","","","","",""
"乳房","構造と機能","乳汁分泌に関するホルモンの作用を説明できる。","JlAKprU","D-11-01-na-03","乳汁分泌に関するホルモンの作用を説明できる。","","","","","","","","","","","","","","",""
"乳房","症候","乳房腫瘤","JlAKprY","D-11-03-na-01,D-11-04-01-02","乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。","","","","","","","","","","","","","","",""
"乳房","症候","異常乳汁分泌（血性乳頭分泌）","JlAKprc","D-11-03-na-01,D-11-04-01-02","乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。","","","","","","","","","","","","","","",""
