"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","H28表記","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","全体編集コメント","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","Unnamed: 15","査読への返答","A","B","C","D","E","F","G","H","I"
"人体各器官の正常構造と機能、病態、診断、治療","腎・尿路系（体液・電解質バランスを含む）","腎・尿路系の構造と機能について基本的事項について理解している。","JkxnuRc","D-08-01-na-01,D-08-01-na-02,D-08-01-na-03,D-08-01-na-04,D-08-01-na-05,D-08-01-na-06,D-08-01-na-07,D-08-01-na-08","腎・尿路系の構造と機能について基本的事項を説明できる。","体液の量と組成・浸透圧を小児と成人を区別して説明できる。,腎・尿路系の位置・形態と血管分布・神経支配を説明できる。,腎の機能の全体像やネフロン各部の構造と機能を概説できる。,腎糸球体における濾過の機序を説明できる。,尿細管各部における再吸収・分泌機構と尿の濃縮機序を説明できる。,水電解質、酸・塩基平衡の調節機構を概説できる。,腎で産生される又は腎に作用するホルモン・血管作動性物質（エリスロポエチン、ビタミンD、レニン、アンギオテンシンII、アルドステロン）の作用を説明できる。,蓄排尿の機序を説明できる。","腎・尿路系の構造と機能について基本的事項を説明できる。","腎・尿路系の構造と機能について基本的事項について理解している。","","",2.0,"","腎・尿路系の構造と機能について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","腎・尿路系（体液・電解質バランスを含む）","腎・尿路系でみられる症候について理解している。","JkxnuRg",",,,,,D-08-04-02-05","腎・尿路系でみられる症候について説明できる。","{not found: },{not found: },{not found: },{not found: },{not found: },臨床症候分類（急性腎炎症候群、慢性腎炎症候群、ネフローゼ症候群、急速進行性腎炎症候群、反復性または持続性血尿症候群）を概説できる。","腎・尿路系でみられる症候について説明できる。","腎・尿路系でみられる症候について理解している。","","【宮地】技能で「〜について鑑別診断を検討し、診断の要点を説明できる。」レベルが求められているのとあわせる必要があるのでは？「〜で見られる症候について鑑別疾患を検討し、診断の要点を説明できる。」",2.0,"","腎・尿路系でみられる症候について理解している。","","","","","","症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、ここで扱われるべきなのはタンパク尿だけ？","","「ついて」を削除","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","腎・尿路系（体液・電解質バランスを含む）","腎・尿路系で行う検査方法について基本的事項について理解している。","JkxnuRk","D-08-02-na-02,D-08-02-na-01,D-08-02-na-03,D-08-02-na-04","腎・尿路系で行う検査方法について基本的事項を説明できる。","糸球体濾過量（実測、推算）を含む腎機能検査法を概説できる。,腎・尿路系の画像診断の適応と異常所見を概説できる。,腎生検の適応と禁忌を説明できる。,尿流動態検査を説明できる。","腎・尿路系で行う検査方法について基本的事項を説明できる。","腎・尿路系で行う検査方法について基本的事項について理解している。","","",2.0,"","腎・尿路系で行う検査方法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","腎・尿路系（体液・電解質バランスを含む）","腎・尿路系疾患に特異的な治療法について基本的事項について理解している。","JkxnuRo","D-08-04-01-06","腎・尿路系疾患に特異的な治療法について基本的事項を説明できる。","腎不全の治療（血液透析・腹膜透析・腎移植）を説明できる。","腎・尿路系疾患に特異的な治療法について基本的事項を説明できる。","腎・尿路系疾患に特異的な治療法について基本的事項について理解している。","","",2.0,"","腎・尿路系疾患に特異的な治療法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","腎・尿路系（体液・電解質バランスを含む）","腎・尿路系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","JkxnuRs","D-08-04-01-01,D-08-04-01-02, D-08-04-01-03, D-08-04-01-04, D-08-04-01-05, ,D-08-03-01-01,D-08-03-01-02,D-08-03-01-03,D-08-03-01-04,D-08-04-09-01, D-08-04-09-02,D-08-04-02-01, D-08-04-02-02, D-08-04-02-03,D-08-04-03-01, D-08-04-03-02,D-08-04-04-01, D-08-04-05-01, D-08-04-05-02,D-08-04-06-01, D-08-04-06-02, D-08-04-06-03, D-08-04-06-04,. D-08-04-06-05,D-08-04-07-01, D-08-04-07-02,D-08-04-08-01, D-08-04-08-02, D-08-04-08-03,D-08-04-09-01, D-08-04-09-02","腎・尿路系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","急性腎不全（急性腎障害）の病因、症候、診断と治療を説明できる。,慢性腎不全（慢性腎臓病(chronic kidney disease <CKD>)）の病因、症候、診断と治療を説明できる。,慢性腎臓病<CKD>重症度分類を説明できる。,慢性腎不全の合併症である腎性貧血、ミネラル骨代謝異常を概説できる。,透析導入基準（慢性腎不全）を説明できる。,{not found:  },高・低Na血症（原因疾患、症候、治療）を概説できる。,高・低K血症（原因疾患、症候、治療）を概説できる。,高・低Ca血症（原因疾患、症候、治療）を概説できる。,高・低P血症、高・低Cl血症、高・低Mg血症を概説できる。,腎癌の症候、病理所見、診断、治療を説明できる。,膀胱癌を含む尿路上皮癌の症候、診断、治療を説明できる。,急性糸球体腎炎症候群の病因、症候、診断と治療を説明できる。,慢性糸球体腎炎症候群（IgA腎症を含む）の症候、診断と治療を説明できる。,ネフローゼ症候群の分類、症候、診断と治療を説明できる。,高血圧による腎障害（腎硬化症）を概説できる。,腎血管性高血圧症を概説できる。,尿細管性アシドーシスの分類、病態生理、診断と治療を説明できる。,急性・慢性腎盂腎炎の病因、症候、診断と治療を説明できる。,急性・慢性尿細管間質性腎炎の病因、症候、診断と治療を説明できる。,糖尿病腎症の症候、診断と治療を説明できる。,ループス腎炎の症候、診断と治療を説明できる。,アミロイド腎症の症候、診断と治療を説明できる。,膠原病類縁疾患（血管炎症候群、抗糸球体基底膜(glomerular basement membrane <GBM>)病（Goodpasture症候群））の腎病変を説明できる。,{not found: . D-08-04-06-05},腎尿路の主な先天異常（多発性嚢胞腎、膀胱尿管逆流）を概説できる。,腎外傷の症候、診断と治療を説明できる。,尿路結石の病因、症候、診断と治療を説明できる。,尿路の炎症（膀胱炎・前立腺炎・尿道炎）の病因、診断と治療を説明できる。,神経因性膀胱を概説できる。,腎癌の症候、病理所見、診断、治療を説明できる。,膀胱癌を含む尿路上皮癌の症候、診断、治療を説明できる。","腎・尿路系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","腎・尿路系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","",2.0,"","腎・尿路系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","生殖機能","生殖機能の構造と機能について基本的事項について理解している。","JkxnuRw","D-09-01-na-01,D-09-01-na-02,D-09-01-na-03,D-09-01-na-04,D-09-01-na-05,D-09-01-na-06,D-09-01-na-07,D-09-01-na-08,D-09-01-na-09","生殖機能の構造と機能について基本的事項を説明できる。","生殖腺の発生と性分化の過程を説明できる。,男性生殖器の発育の過程を説明できる。,男性生殖器の形態と機能を説明できる。,精巣の組織構造と精子形成の過程を説明できる。,陰茎の組織構造と勃起・射精の機序を説明できる。,女性生殖器の発育の過程を説明できる。,女性生殖器の形態と機能を説明できる。,性周期発現と排卵の機序を説明できる。,閉経の過程と疾病リスクの変化を説明できる。","生殖機能の構造と機能について基本的事項を説明できる。","生殖機能の構造と機能について基本的事項について理解している。","","",2.0,"","生殖機能の構造と機能について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","生殖機能","生殖機能でみられる症候について理解している。","JkxnuR0","D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05,D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05","生殖機能でみられる症候について説明できる。","腹痛,腹部膨隆（腹水を含む）・膨満・腫瘤,尿量・排尿の異常,腹痛,腹部膨隆（腹水を含む）・膨満・腫瘤,尿量・排尿の異常,腹痛,腹部膨隆（腹水を含む）・膨満・腫瘤,尿量・排尿の異常,腹痛,腹部膨隆（腹水を含む）・膨満・腫瘤,尿量・排尿の異常,腹痛,腹部膨隆（腹水を含む）・膨満・腫瘤,尿量・排尿の異常,腹痛,腹部膨隆（腹水を含む）・膨満・腫瘤,尿量・排尿の異常,勃起不全と射精障害を概説できる。,精巣機能障害を概説できる。,{not found:  D-09-03-02-03、D-09-03-03-01},貧血,月経異常・無月経,勃起不全と射精障害を概説できる。,精巣機能障害を概説できる。,{not found:  D-09-03-02-03、D-09-03-03-01},貧血,月経異常・無月経,勃起不全と射精障害を概説できる。,精巣機能障害を概説できる。,{not found:  D-09-03-02-03、D-09-03-03-01},貧血,月経異常・無月経,勃起不全と射精障害を概説できる。,精巣機能障害を概説できる。,{not found:  D-09-03-02-03、D-09-03-03-01},貧血,月経異常・無月経,勃起不全と射精障害を概説できる。,精巣機能障害を概説できる。,{not found:  D-09-03-02-03、D-09-03-03-01},貧血,月経異常・無月経,勃起不全と射精障害を概説できる。,精巣機能障害を概説できる。,{not found:  D-09-03-02-03、D-09-03-03-01},貧血,月経異常・無月経,勃起不全と射精障害を概説できる。,精巣機能障害を概説できる。,{not found:  D-09-03-02-03、D-09-03-03-01},貧血,月経異常・無月経,勃起不全と射精障害を概説できる。,精巣機能障害を概説できる。,{not found:  D-09-03-02-03、D-09-03-03-01},貧血,月経異常・無月経,勃起不全と射精障害を概説できる。,精巣機能障害を概説できる。,{not found:  D-09-03-02-03、D-09-03-03-01},貧血,月経異常・無月経","生殖機能でみられる症候について説明できる。","生殖機能でみられる症候について理解している。","","【宮地】技能で「〜について鑑別診断を検討し、診断の要点を説明できる。」レベルが求められているのとあわせる必要があるのでは？「〜で見られる症候について鑑別疾患を検討し、診断の要点を説明できる。」",2.0,"","生殖機能でみられる症候について理解している。","","","","","","症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、ここで扱われるべきなのは月経異常・無月経、勃起不全、射精障害、精巣機能障害だけ？","","「ついて」を削除","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","生殖機能","生殖機能で行う検査方法について基本的事項について理解している。","JkxnuR4","D-09-02-01-01,D-09-02-02-01,D-09-02-02-02,D-09-02-02-03,D-09-02-02-04","生殖機能で行う検査方法について基本的事項を説明できる。","精巣と前立腺の検査法（尿路造影、超音波検査、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>）の適応と異常所見を説明し、結果を解釈できる。,血中ホルモン（卵胞刺激ホルモン(follicle-stimulating hormone <FSH>)、黄体形成ホルモン(luteinizing hormone <LH>)、プロラクチン、ヒト絨毛性ゴナドトロピン(human chorionic gonadotropin <hCG>、エストロゲン、プロゲステロン）測定値を評価できる。,骨盤内臓器と腫瘍の画像診断（超音波検査、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、子宮卵管造影(hysterosalpingography <HSG>)所見を概説できる。,基礎体温の所見を説明できる。,腟分泌物の所見を説明できる。","生殖機能で行う検査方法について基本的事項を説明できる。","生殖機能で行う検査方法について基本的事項について理解している。","","",2.0,"","生殖機能で行う検査方法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","生殖機能","生殖機能に関する疾患に特異的な治療法について基本的事項について理解している。","JkxnuR8","","生殖機能に関する疾患に特異的な治療法について基本的事項を説明できる。","","生殖機能に関する疾患に特異的な治療法について基本的事項を説明できる。","生殖機能に関する疾患に特異的な治療法について基本的事項について理解している。","","",2.0,"","生殖機能に関する疾患に特異的な治療法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","生殖機能","生殖機能に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","JkxnuSA","D-09-04-01-01,D-09-04-01-02,D-09-04-01-03,D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06,D-09-04-03-01,D-09-04-03-02,D-09-04-03-03,D-09-04-03-04,D-09-04-03-05","生殖機能に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","男性不妊症を概説できる。,前立腺肥大症の診断と治療を説明できる。,停留精巣、陰嚢内腫瘤を概説できる。,内外生殖器の先天異常を説明できる。,卵巣機能障害、更年期障害を概説できる。,不妊症の系統診断と治療を説明できる。,子宮筋腫・子宮腺筋症の症候、診断と治療を概説できる。,子宮内膜症の症候、診断と治療を説明できる。,外陰、腟と骨盤内感染症の症候、診断と治療を説明できる。,前立腺癌の症候、病理所見、診断、治療を説明できる。,精巣腫瘍の症候、診断、治療を説明できる。,子宮頸癌・子宮体癌（子宮内膜癌）の予防、症候、病理所見、診断、治療を説明できる。,卵巣腫瘍（卵巣癌、卵巣嚢腫）の症候、病理所見、診断、治療を説明できる。,絨毛性疾患（胞状奇胎、絨毛癌）の症候、診断、治療を説明できる。","生殖機能に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","生殖機能に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","",2.0,"","生殖機能に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","妊娠と分娩","妊娠と分娩に関する構造と機能について基本的事項について理解している。","JkxnuSE","D-10-03-na-01,D-10-03-na-02,D-10-03-na-03,D-10-01-na-02,D-10-03-na-04,D-10-03-na-05,D-10-03-na-06, D-10-03-na-07","妊娠と分娩に関する構造と機能について基本的事項を説明できる。","妊娠・分娩・産褥での母体の解剖学的と生理学的変化を説明できる。,胎児・胎盤系の発達過程での機能・形態的変化を説明できる。,正常妊娠の経過を説明できる。,妊娠に伴う身体的変化を概説できる。,正常分娩の経過を説明できる。,産褥の過程を説明できる。,育児に伴う母体の構造的・生理的な変化、精神問題を説明できる。,母子保健の意義を医学的に説明できる。","妊娠と分娩に関する構造と機能について基本的事項を説明できる。","妊娠と分娩に関する構造と機能について基本的事項について理解している。","","",2.0,"","妊娠と分娩に関する構造と機能について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","妊娠と分娩","妊娠と分娩でみられる症候について理解している。","JkxnuSI","D-10-02-na-01,D-10-02-na-02,D-10-02-na-03,D-10-02-na-01,D-10-02-na-02,D-10-02-na-03,D-10-02-na-01,D-10-02-na-02,D-10-02-na-03,F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05,F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05","妊娠と分娩でみられる症候について説明できる。","腹痛,悪心・嘔吐,腹部膨隆（腹水を含む）・膨満・腫瘤,腹痛,悪心・嘔吐,腹部膨隆（腹水を含む）・膨満・腫瘤,腹痛,悪心・嘔吐,腹部膨隆（腹水を含む）・膨満・腫瘤,月経異常の原因と病態生理を説明できる。,月経異常をきたす疾患(群)を列挙し、診断の要点を説明できる。,月経異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,無月経：妊娠,月経困難：月経困難症,月経困難：子宮内膜症,不正性器出血：子宮頸癌,不正性器出血：子宮体癌,月経異常の原因と病態生理を説明できる。,月経異常をきたす疾患(群)を列挙し、診断の要点を説明できる。,月経異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,無月経：妊娠,月経困難：月経困難症,月経困難：子宮内膜症,不正性器出血：子宮頸癌,不正性器出血：子宮体癌","妊娠と分娩でみられる症候について説明できる。","妊娠と分娩でみられる症候について理解している。","","【宮地】技能で「〜について鑑別診断を検討し、診断の要点を説明できる。」レベルが求められているのとあわせる必要があるのでは？「〜で見られる症候について鑑別疾患を検討し、診断の要点を説明できる。」",2.0,"","妊娠と分娩でみられる症候について理解している。","","","","","","症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、ここで扱われるべきなのは不正生理出血だけになるが、「不正生理出血」は本来は生殖機能162に移動すべきでは。","","「ついて」を削除","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","妊娠と分娩","妊娠と分娩で行う検査方法について基本的事項について理解している。","JkxnuSM","D-10-01-na-01,D-10-01-na-04,D-10-01-na-03","妊娠と分娩で行う検査方法について基本的事項を説明できる。","妊娠の診断法を説明できる。,羊水検査法の意義と異常所見を説明できる。,胎児・胎盤検査法（超音波検査、分娩監視装置による）の意義を説明できる。","妊娠と分娩で行う検査方法について基本的事項を説明できる。","妊娠と分娩で行う検査方法について基本的事項について理解している。","","",2.0,"","妊娠と分娩で行う検査方法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","妊娠と分娩","妊娠と分娩に特異的な治療法について基本的事項について理解している。","JkxnuSQ",",D-10-03-na-08","妊娠と分娩に特異的な治療法について基本的事項を説明できる。","{not found: },妊娠時の薬物療法の注意点を説明できる。","妊娠と分娩に特異的な治療法について基本的事項を説明できる。","妊娠と分娩に特異的な治療法について基本的事項について理解している。","","",2.0,"","妊娠と分娩に特異的な治療法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","妊娠と分娩","妊娠と分娩に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","JkxnuSU","D-10-04-na-01,D-10-04-na-02,D-10-04-na-03,D-10-04-na-04,D-10-04-na-05","妊娠と分娩に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","主な異常妊娠（流産、切迫流産、子宮外妊娠（異所性妊娠）、妊娠高血圧症候群、多胎妊娠、胎児発育不全）の病態を説明できる。,主な異常分娩（早産、微弱陣痛、遷延分娩、回旋異常、前置胎盤、癒着胎盤、常位胎盤早期剥離、弛緩出血、分娩外傷）の病態を説明できる。,主な異常産褥（子宮復古不全、産褥熱、乳腺炎）の病態を説明できる。,産科救急（産科出血、播種性血管内凝固<DIC>）の病態と治療を説明できる。,主な合併症妊娠（耐糖能異常、甲状腺疾患、血液型不適合妊娠、toxoplasmosis, other agents, rubella, cytomegalovirus, herpes simplex <TORCH>症候群）の病態を説明できる。","妊娠と分娩に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","妊娠と分娩に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","",2.0,"","妊娠と分娩に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","小児","小児にみられる症候について理解している。","Jli53Ic","","小児にみられる症候について理解している。","","　","小児にみられる症候について理解している。","別表へ","",2.0,"","小児にみられる症候について理解している。","","","{not found: Jli53Ic}","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","小児","小児で行う検査方法について基本的事項について理解している。","Jli53IY","","小児で行う検査方法について基本的事項について理解している。","","　","小児で行う検査方法について基本的事項について理解している。","別表へ","",2.0,"","小児で行う検査方法について基本的事項について理解している。","","","{not found: Jli53IY}","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","小児","小児に特異的な治療法について基本的事項について理解している。","Jli53IQ","","小児に特異的な治療法について基本的事項について理解している。","","　","小児に特異的な治療法について基本的事項について理解している。","別表へ","",2.0,"","小児に特異的な治療法について基本的事項について理解している。","","","{not found: Jli53IQ}","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","小児","小児の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","Jli53IM","","小児の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","　","小児の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","別表へ","",2.0,"","小児の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","","{not found: Jli53IM}","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","乳房","乳房の構造と機能について基本的事項について理解している。","JkxnuSY","D-11-01-na-01,D-11-01-na-02,D-11-01-na-03","乳房の構造と機能について基本的事項を説明できる。","乳房の構造と機能を説明できる。,成長発達に伴う乳房の変化を説明できる。,乳汁分泌に関するホルモンの作用を説明できる。","乳房の構造と機能について基本的事項を説明できる。","乳房の構造と機能について基本的事項について理解している。","","",2.0,"","乳房の構造と機能について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","乳房","乳房でみられる症候について理解している。","JkxnuSc","D-11-03-na-01,D-11-04-01-02,D-11-03-na-01,D-11-04-01-02,D-11-03-na-01,D-11-04-01-02,D-11-03-na-01,D-11-04-01-02","乳房でみられる症候について説明できる。","乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。,乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。,乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。,乳房腫瘤、異常乳汁分泌（血性乳頭分泌）と乳房の腫脹・疼痛・変形をきたす主な病因を列挙できる。,女性化乳房を概説できる。","乳房でみられる症候について説明できる。","乳房でみられる症候について理解している。","","【宮地】技能で「〜について鑑別診断を検討し、診断の要点を説明できる。」レベルが求められているのとあわせる必要があるのでは？「〜で見られる症候について鑑別疾患を検討し、診断の要点を説明できる。」",2.0,"","乳房でみられる症候について理解している。","","","","","","症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別疾患、診断、治療を説明できる」ということであれば、ここで扱われるべきなのは女性化乳房、乳房腫瘤、異常乳汁分泌（血性乳頭分泌）、乳房腫脹・疼痛・変形。","","「ついて」を削除","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","乳房","乳房に関して行う検査方法について基本的事項について理解している。","JkxnuSg","D-11-02-na-01,D-11-02-na-02","乳房に関して行う検査方法について基本的事項を説明できる。","乳房腫瘤の画像診断（乳房撮影、超音波検査、磁気共鳴画像法<MRI>）を概説できる。,乳房腫瘤に対する細胞・組織診断法を概説できる。","乳房に関して行う検査方法について基本的事項を説明できる。","乳房に関して行う検査方法について基本的事項について理解している。","","",2.0,"","乳房に関して行う検査方法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","乳房","乳房疾患に特異的な治療法について基本的事項について理解している。","JkxnuSk","","乳房疾患に特異的な治療法について基本的事項を説明できる。","","乳房疾患に特異的な治療法について基本的事項を説明できる。","乳房疾患に特異的な治療法について基本的事項について理解している。","","",2.0,"","乳房疾患に特異的な治療法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","乳房","乳房に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","JkxnuSs","D-11-04-01-01,","乳房に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","良性乳腺疾患の種類を列挙できる。,{not found: }","乳房に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","乳房に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","",2.0,"","乳房に関する疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","内分泌・栄養・代謝系","内分泌・栄養・代謝系の構造と機能について基本的事項について理解している。","JkxnuSw","D-12-01-na-01,D-12-01-na-03,D-12-01-na-04,D-12-01-na-05,D-12-01-na-06,D-12-01-na-07,D-12-01-na-08,D-12-01-na-09,D-12-02-na-02,D-12-02-na-03","内分泌・栄養・代謝系の構造と機能について基本的事項を説明できる。","ホルモンを構造から分類し作用機序と分泌調節機能を説明できる。,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係を説明できる。,甲状腺と副甲状腺（上皮小体）から分泌されるホルモンの作用と分泌調節機構を説明できる。,副腎の構造と分泌されるホルモンの作用と分泌調節機構を説明できる。,膵島から分泌されるホルモンの作用を説明できる。,男性ホルモン・女性ホルモンの合成・代謝経路と作用を説明できる。,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率(bioavailability)を説明できる。,糖質・タンパク質・脂質の代謝経路と相互作用を説明できる。,血中ホルモン濃度に影響を与える因子を列挙できる。,ホルモンの日内変動の例を挙げて説明できる。","内分泌・栄養・代謝系の構造と機能について基本的事項を説明できる。","内分泌・栄養・代謝系の構造と機能について基本的事項について理解している。","","",2.0,"","内分泌・栄養・代謝系の構造と機能について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","内分泌・栄養・代謝系","内分泌・栄養・代謝系でみられる症候について理解している。","JkxnuS0",",,,,,,","内分泌・栄養・代謝系でみられる症候について説明できる。","{not found: },{not found: },{not found: },{not found: },{not found: },{not found: },{not found: }","内分泌・栄養・代謝系でみられる症候について説明できる。","内分泌・栄養・代謝系でみられる症候について理解している。","","【宮地】技能で「〜について鑑別診断を検討し、診断の要点を説明できる。」レベルが求められているのとあわせる必要があるのでは？「〜で見られる症候について鑑別疾患を検討し、診断の要点を説明できる。」",2.0,"","内分泌・栄養・代謝系でみられる症候について理解している。","","","","","","何が入りますか？","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","内分泌・栄養・代謝系","内分泌・栄養・代謝系で行う検査方法について基本的事項について理解している。","JkxnuS4",",","内分泌・栄養・代謝系で行う検査方法について基本的事項を説明できる。","{not found: },{not found: }","内分泌・栄養・代謝系で行う検査方法について基本的事項を説明できる。","内分泌・栄養・代謝系で行う検査方法について基本的事項について理解している。","","",2.0,"","内分泌・栄養・代謝系で行う検査方法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","内分泌・栄養・代謝系","内分泌・栄養・代謝系疾患に特異的な治療法について基本的事項について理解している。","JkxnuS8","","内分泌・栄養・代謝系疾患に特異的な治療法について基本的事項を説明できる。","","内分泌・栄養・代謝系疾患に特異的な治療法について基本的事項を説明できる。","内分泌・栄養・代謝系疾患に特異的な治療法について基本的事項について理解している。","","",2.0,"","内分泌・栄養・代謝系疾患に特異的な治療法について基本的事項について理解している。","","","","","","","","","","","",""
